region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
sydney,2010Q2,128.6,8829.0,5.3363545,3429.6818291,62.8856729,0.978623461634198,4.375,1075.9,762.0,2010-06-30,4.979591836734687,20.978363123236132,-2.8285274047985864,35.51803530314659,0.0,12.389380530973447,0.0,0.1489341897049412
sydney,2010Q3,127.4,8513.0,5.13136783333333,3466.02377366667,63.2506004666667,1.89292622942805,,1075.9,762.0,2010-09-30,-0.9331259720062102,14.981949458483768,-3.579114282478202,7.014456316781903,0.0,12.389380530973447,0.0,0.1489341897049412
sydney,2010Q4,129.4,10400.0,4.98541226666667,3508.49043386667,63.7415713333333,2.90373613343236,4.75,1075.9,762.0,2010-12-31,1.5698587127158659,11.16838487972509,22.166098907553145,16.762097226900185,0.0,12.389380530973447,0.0,0.1489341897049412
sydney,2011Q1,127.1,8086.0,5.01661826666667,3518.5808359,63.7366953,2.95386777227356,,1098.34,774.0,2011-03-31,-1.7774343122102132,3.755102040816327,-22.250000000000004,-11.005943209333036,1.5748031496062964,1.5748031496062964,2.0856956966260665,2.0856956966260665
sydney,2011Q2,127.6,7632.0,5.1726347,3504.6085105,63.40931446666671,2.18465400388648,,1098.34,774.0,2011-06-30,0.3933910306844979,-0.7776049766718529,-5.6146425921345555,-13.557594291539242,0.0,1.5748031496062964,0.0,2.0856956966260665
sydney,2011Q3,127.4,9963.0,5.30186066666667,3507.6596495,63.3932949,1.20125765292394,,1098.34,774.0,2011-09-30,-0.15673981191222097,0.0,30.542452830188683,17.03277340538001,0.0,1.5748031496062964,0.0,2.0856956966260665
sydney,2011Q4,126.1,8752.0,5.2479971,3514.8030068,63.2964076333333,0.179922763146201,4.375,1098.34,774.0,2011-12-31,-1.0204081632653184,-2.5502318392581214,-12.154973401585867,-15.846153846153843,0.0,1.5748031496062964,0.0,2.0856956966260665
sydney,2012Q1,123.8,7327.0,5.0753873,3515.75830556667,62.9815574,-0.0802178623988125,,1096.49,765.0,2012-03-31,-1.8239492466296525,-2.596380802517706,-16.28199268738574,-9.386594113282221,-1.1627906976744207,-1.1627906976744207,-0.16843600342334453,-0.16843600342334453
sydney,2012Q2,125.5,9162.0,5.0232997,3524.39974636667,62.9014511,0.564720304917676,3.625,1096.49,765.0,2012-06-30,1.3731825525040486,-1.6457680250783646,25.04435648969565,20.047169811320753,0.0,-1.1627906976744207,0.0,-0.16843600342334453
sydney,2012Q3,125.9,10019.0,5.0414635,3543.8988664,63.0696027333333,1.03314518856372,,1096.49,765.0,2012-09-30,0.3187250996016022,-1.1773940345368938,9.35385287055228,0.5620796948710316,0.0,-1.1627906976744207,0.0,-0.16843600342334453
